Titre,Notes,Nombre des évaluations,Prix,Rehercher_url
"fanxiang 2To SSD Externe Portable, Jusqu'à 2000 Mo/s en Lecture, USB 3.2 Gen2 USB-C PSSD, Disque SSD Portable pour PC/Laptops/Mac/Téléphone OTG/iPhone 15/PS4/XBOX (PS2000W)","4,4 sur 5 étoiles",168,"169,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Hikvision Disque Dur Externe 1To, Ultra-Mince 2.5"" Portable USB 3.0 SATA Stockage HDD pour PS4, Xbox One, Wii U, PC, Mac, Laptop, TV (Noir) HD-E30","4,6 sur 5 étoiles",1 348,"56,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Netac 250 Go Externe SSD USB 3.2 Gén 2 Disque Dur Portatif Vitesse Jusqu'à 550MB/s (10 Gbps, Type-C, Aluminium)","4,4 sur 5 étoiles",2 677,"33,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"LaCie Mobile Drive Moon, 1 To, disque dur externe portable, Silver, USB-C 3.2, pour PC et Mac, en matériaux recyclés, avec abonnement àToutes les applications Adobe et Services Rescue (STLP1000400)","4,5 sur 5 étoiles",549,"84,54 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
WD - My Passport Go 1TB - Disque SSD Portable - Finition Cobalt,"4,6 sur 5 étoiles",4 539,"246,51 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"UnionSine Disque Dur externe 10 to 3,5"" USB 3.0 HDD Compatible PC/Ordinateur de Bureau/Ordinateur Portable/Mac/Xbox/Xbox One/PS4/TV (Noir) HD3511","4,1 sur 5 étoiles",710,"224,53 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
iStorage diskAshur2 HDD 1To Noir - Disque dur portable sécurisé - Protégé par mot de passe - Résistant à la poussière et à l'eau - Cryptage matériel,"4,4 sur 5 étoiles",272,"249,95 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"WD 1To My Passport SSD, Disque SSD externe, Portable SSD, des vitesses allant jusqu'à 1050 Mo/s en lecture, 1000 Mo/s en écriture, USB-C, compatibilité avec PC, Xbox et Playstation, Gris sidéral","4,5 sur 5 étoiles",127 176,"116,77 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Aiolo Innovation Disque Dur Externe 1To -Portable Ultra-Mince 2.5"" Memoire Externe USB 3.0, SATA Stockage HDD pour PS4, Xbox, PC, Mac, Ordinateur de Bureau, Ordinateur Portable, Smartphone, Wii U","4,3 sur 5 étoiles",924,"65,18 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Samsung SSD Externe T7 Shield, 1 To, Noir, MU-PE1T0S/EU, vitesse de lecture/écriture jusqu'à 1050Mo/s, USB 3.2 Gen 2","4,7 sur 5 étoiles",7 211,"103,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"UnionSine Disque Dur externe 10 to 3,5"" USB 3.0 HDD Compatible PC/Ordinateur de Bureau/Ordinateur Portable/Mac/Xbox/Xbox One/PS4/TV (Noir)","4,3 sur 5 étoiles",3 768,"224,53 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
WD 3TB Elements Portable External Hard Drive - USB 3.0,"4,6 sur 5 étoiles",8 842,"139,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"WD_BLACK C50 1 To Carte d'extension Xbox, sous licence officielle pour votre Xbox Series X|S, Xbox Velocity Architecture, Prête à l'emploi, Quick Resume, 1 mois au Xbox Game Pass Ultimate inclus","4,6 sur 5 étoiles",52 393,"141,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
RENICE SSD Portable à Empreintes digitales Mini Disque SSD Portable 512 Go USB 3.2 Gen2 avec Transfert de données 1000 Mo/s,"4,0 sur 5 étoiles",10,"132,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Gigastone USB-C SSD Externe 1 to pour PS5 iPhone15 USB 3.2 Gén. 2, jusqu'à 1,050 Mo/s, 2 en 1 Disque SSD Portable Double Type C+ Type A pour MacBook iPad Xbox Gaming Disque Dur ssd Sauvegarde","4,2 sur 5 étoiles",250,"129,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"UnionSine Disque Dur externe 10 to 3,5"" USB 3.0 HDD Compatible PC/Ordinateur de Bureau/Ordinateur Portable/Mac/Xbox/Xbox One/PS4/TV (Noir)","4,3 sur 5 étoiles",3 768,"224,53 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Aiolo Innovation Disque Dur Externe 1To -Portable Ultra-Mince 2.5"" Memoire Externe USB 3.0, SATA Stockage HDD pour PS4, Xbox, PC, Mac, Ordinateur de Bureau, Ordinateur Portable, Smartphone, Wii U","4,3 sur 5 étoiles",924,"65,18 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Disques durs externes 500Go - 2.5'' USB 3.0 Ultra Fin Tout-Aluminium Stockage HDD pour Xbox One, PS4, PC, Mac, Laptop, Ordinateur Portable de Bureau, Wii U, TV, Windows(Rose Pink)","4,5 sur 5 étoiles",50 188,"37,49 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Seagate One Touch, 5 To, disque dur externe portable, chiffrement matériel par mot de passe, PC, Notebook & Mac, USB 3.0, Space Gray, 2 ans de Rescue Service inclus (STKZ5000404)","4,5 sur 5 étoiles",256 355,"150,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Seagate Firecuda 2To Disque dur externe portable, compatible avec PS4, PS5, Xbox One/Series, PC, Marvel Edition Miles Morales, USB 3.2, 3 ans Rescue Services (STKL2000419)","4,6 sur 5 étoiles",2 431,"149,98 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
